1, Sevilla, Getafe, 0, 0, 0, 1, 17, 0, 0, 0, 0, 0, 0, 4, 1, 1
2, Athletic, Osasuna, 0, 0, 0, 11, 10, 0, 0, 0, 0, 0, 0, 0, 0, X
3, Deportivo, Almería, 0, 0, 0, 19, 2, 0, 0, 0, 0, 0, 0, 0, 3, 2
4, Racing, Barcelona, 0, 0, 0, 13, 12, 0, 0, 0, 0, 0, 0, 0, 0, X
5, Mallorca, Levante, 0, 0, 0, 4, 18, 0, 0, 0, 0, 0, 0, 3, 0, 1
6, R. Madrid, At. Madrid, 0, 0, 0, 5, 15, 0, 0, 0, 0, 0, 0, 2, 1, 1
7, Espanyol, Valladolid, 0, 0, 0, 16, 7, 0, 0, 0, 0, 0, 0, 0, 1, 2
8, Recreativo, Betis, 0, 0, 0, 9, 8, 0, 0, 0, 0, 0, 0, 1, 1, X
9, Valencia, Villarreal, 0, 0, 0, 20, 3, 0, 0, 0, 0, 0, 0, 0, 3, 2
10, Murcia, Zaragoza, 0, 0, 0, 6, 14, 0, 0, 0, 0, 0, 0, 2, 1, 1
11, Zaragoza, Racing, 0, 1, -1, 14, 13, 1, 2, 0, 0, 0, 0.0, 1, 1, X
12, Betis, Espanyol, 1, 0, 1, 8, 16, 1, 1, 0, 1, 0, 0.0, 2, 2, X
13, Villarreal, R. Madrid, 3, 3, 0, 3, 5, 3, 0, 2, 1, 0, 1.0, 0, 5, 2
14, Getafe, Recreativo, 0, 1, -1, 17, 9, 1, 4, 1, 1, 0, 0.0, 1, 1, X
15, Barcelona, Athletic, 1, 1, 0, 12, 11, 0, 0, 0, 0, 0, 0.0, 3, 1, 1
16, Levante, Murcia, 0, 3, -3, 18, 6, 0, 3, 2, 1, 0, 0.0, 0, 0, X
17, At. Madrid, Mallorca, 0, 3, -3, 15, 4, 1, 2, 3, 0, 0, 0.0, 1, 1, X
18, Almería, Valencia, 3, 0, 3, 2, 20, 3, 0, 0, 3, 0, 1.0, 1, 2, 2
19, Osasuna, Sevilla, 1, 3, -2, 10, 1, 0, 0, 4, 1, 0, 0.0, 1, 1, X
20, Valladolid, Deportivo, 3, 0, 3, 7, 19, 1, 0, 0, 3, 0, 1.0, 2, 2, X
21, Sevilla, Recreativo, 16, 15, 1, 6, 11, 25, 21, 10, 19, 0.5714286, 0.14285715, 4, 1, 1
22, Athletic, Zaragoza, 17, 18, -1, 17, 14, 15, 16, 21, 22, 0.14285715, 0.42857143, 1, 1, X
23, Deportivo, Betis, 13, 11, 2, 18, 10, 13, 21, 13, 22, 0.14285715, 0.2857143, 1, 0, 1
24, Racing, Levante, 23, 7, 16, 12, 20, 12, 12, 11, 29, 0.5714286, 0.2857143, 1, 0, 1
